Simulation_ID,Wild_type,resistant_to_AMB,resistant_to_CAS
0.0,10238.903467420101,0.0,0.0
1.0,10238.43287538647,0.0,0.0
2.0,10238.567070962232,0.0,0.0
3.0,10232.59554685542,0.0,0.0
4.0,10237.80466612823,22.042116259834295,0.0
5.0,10238.472945249816,0.0,0.0
6.0,10239.13307802181,0.0,0.0
7.0,10238.913260216217,0.0,0.0
8.0,10238.838926560054,0.0,0.0
9.0,10238.202478445697,0.0,0.0
10.0,10238.01066281164,34.37852295882621,0.0
11.0,10238.506694301464,0.0,0.0
12.0,10239.013746723525,0.0,0.0
13.0,10238.349015104031,34.37848937447311,0.0
14.0,10238.290516019499,0.0,0.0
15.0,10238.819601970827,0.0,0.0
16.0,10238.663478081606,0.0,0.0
17.0,10234.22631424739,0.0,0.0
18.0,10239.344339717347,0.0,0.0
19.0,10229.283324231214,0.0,0.0
20.0,10234.715832285934,0.0,0.0
21.0,10238.450334278343,0.0,0.0
22.0,10239.389850583133,0.0,0.0
23.0,10238.968841234233,0.0,0.0
24.0,10239.283332080382,0.0,0.0
25.0,10238.979535617758,0.0,0.0
26.0,10206.419004948022,0.0,0.0
27.0,10237.212405281036,0.0,0.0
28.0,10234.021504190481,0.0,0.0
29.0,10238.589117819773,0.0,0.0
30.0,10148.121526233723,0.0,0.0
31.0,10238.225933229452,0.0,0.0
32.0,10207.463425539148,0.0,0.0
33.0,10230.366846383973,0.0,0.0
34.0,10237.546812598372,19.00690701015047,0.0
35.0,10233.387814444483,191.8002022454845,0.0
36.0,10238.19170497242,0.0,0.0
37.0,10238.171419267059,0.0,0.0
38.0,10235.210466293272,130.7015304556361,0.0
39.0,10238.764451429472,0.0,0.0
40.0,10233.304606246678,0.0,0.0
41.0,10234.790992753253,0.0,0.0
42.0,10238.456177822776,0.0,0.0
43.0,10237.996390821103,0.0,0.0
44.0,10237.950837246779,0.0,0.0
45.0,10239.467575814255,0.0,0.0
46.0,10238.1932750132,0.0,0.0
47.0,10239.344232551364,0.0,0.0
48.0,10233.288172024997,185.66984322479826,30.44742429440908
49.0,10236.480118519179,0.0,0.0
50.0,10239.071577496567,0.0,0.0
51.0,10238.30091476093,0.0,0.0
52.0,10239.215312308532,0.0,0.0
53.0,10238.561990407588,0.0,0.0
54.0,10217.009495508826,0.0,0.0
55.0,10237.877217669697,0.0,0.0
56.0,10238.607489337477,1.5330619452281795,0.0
57.0,10234.61640756256,0.0,0.0
58.0,10185.568577316086,0.0,0.0
59.0,10174.889791863267,0.0,0.0
60.0,10238.90817336924,0.0,0.0
61.0,10239.44377886206,0.0,0.0
62.0,10238.718005156388,0.0,0.0
63.0,10238.51073396801,0.0,0.0
64.0,10238.909555026274,0.0,0.0
65.0,10236.469020209897,0.0,0.0
66.0,10238.751931808178,0.0,0.0
67.0,10238.51019350453,0.0,0.0
68.0,10238.945757692094,0.0,0.0
69.0,10239.383551662426,0.0,0.0
70.0,10238.926685669723,0.0,0.0
71.0,10238.777935434726,0.0,0.0
72.0,10239.352264316234,0.0,0.0
73.0,10238.518460147094,0.0,0.0
74.0,10238.576626357482,0.0,0.0
75.0,10237.789941100325,62.18229825726101,0.0
76.0,10238.644406772106,0.0,0.0
77.0,10239.047340277068,0.0,0.0
78.0,10239.49547066444,0.0,0.0
79.0,10239.01323943354,1.0691035411271876,0.0
80.0,10238.232943567284,0.0,0.0
81.0,10239.277916146537,0.0,0.0
82.0,10233.876924087523,4.321534945734207,0.0
83.0,10238.71040313487,0.0,0.0
84.0,10237.204712819443,0.0,0.0
85.0,10236.121348290733,0.0,0.0
86.0,10239.217697805847,0.0,0.0
87.0,10239.196095836869,0.0,0.0
88.0,10231.546657224106,0.0,0.0
89.0,10239.325788178548,0.0,0.0
90.0,10239.137328137575,0.0,0.0
91.0,10236.88140875021,32.41441363241779,0.0
92.0,10239.46681882608,0.0,0.0
93.0,10238.346706582275,0.0,0.0
94.0,10238.234869321897,0.0,0.0
95.0,10234.337482895173,0.0,0.0
96.0,10238.276993197083,0.0,0.0
97.0,10237.958607544415,0.0,0.0
98.0,10238.843435083465,0.0,0.0
99.0,10239.354951687674,0.0,0.0
