Simulation_ID,Wild_type,resistant_to_AMB,resistant_to_CAS
0.0,10250512.182636105,121853.30628419806,3.8324511039023355
1.0,10260070.330266345,38593.36179311527,1.5972656480931255
2.0,10256321.53465676,71246.28916958746,1.9579478103030452
3.0,10259013.663967041,47790.19049300646,3.5388856899429735
4.0,10152073.791098854,981500.6308155663,4.749682162347056
5.0,10236671.28465808,242541.595129056,0.0
6.0,10199362.08866697,568133.4344952165,1.9995285580336557
7.0,10116992.674776431,1288689.9040481253,1.5888408352152743
8.0,10257517.764595779,60817.7014597957,1.1392229357910955
9.0,10227927.758496137,318790.9180912498,1.950017063925117
10.0,10178988.736419976,746144.92801694,1.1215987747272531
11.0,10106219.901963148,1383086.2385542342,0.0
12.0,10226674.554285955,329728.7183842117,0.0
13.0,10260840.383985745,31883.643249456676,1.2400083702033236
14.0,10255686.53708271,76779.89277658123,1.605573394658439
15.0,10237538.891107894,234987.58865919354,1.9509664222275989
16.0,10238403.696422825,227445.35906116499,0.0
17.0,10256052.978248259,73577.57572739312,3.238045341986655
18.0,10163720.410597641,879613.3729471979,2.2691651787517744
19.0,10254775.205012271,84692.94235973594,1.914169708472183
20.0,10254655.985089626,85738.6916558897,2.315823917820109
21.0,9982196.812865473,2472983.075762757,4.5239807822738625
22.0,10181450.245517962,724615.0078527683,0.0
23.0,10250947.645780668,118064.99221181998,2.969593160076818
24.0,10244686.48874308,172658.62534197108,1.1222798330062433
25.0,10240573.3233236,208518.03563749883,1.596114404008914
26.0,10121321.067024948,1250768.4610550888,1.35571283801134
27.0,10251357.87928211,114503.5475009365,3.171053961262032
28.0,10254321.610680904,88668.43036527744,0.0
29.0,10170654.629238646,818989.7455497762,4.2549481057157115
30.0,10173177.815723114,796930.7152253146,3.28157111025311
31.0,10252634.834885178,103366.09875985132,1.9575798961023774
32.0,10218777.260110863,398641.98558742966,2.34359187065343
33.0,10223183.92073856,360211.0630448621,1.122046664570842
34.0,10253194.962328967,98478.05494815022,0.0
35.0,10165281.311022773,865983.6364058511,0.0
36.0,10223265.455225836,359474.95985751966,1.2732861324213116
37.0,10261841.481799943,23146.858126382478,5.081295039183842
38.0,10133410.603194965,1144888.9213333544,5.211090372164147
39.0,10258103.316243099,55742.74386324882,0.0
40.0,10241854.69671434,197337.2290598239,1.3895962889207438
41.0,10247107.005309597,151545.09438339664,1.1223014683512582
42.0,10237314.16855411,236954.28665998988,0.0
43.0,10170918.027642043,816690.8246765647,4.848801238012734
44.0,10251145.190986333,116355.29844104942,1.9173282395828917
45.0,10255335.737097327,79819.86979472732,1.9590717891244316
46.0,10259045.17547282,47505.29681747878,0.0
47.0,10200672.14414313,556693.665381277,1.601808269892333
48.0,10201847.565457204,546438.1252529611,0.0
49.0,10244909.58711289,170706.4734236364,1.281454535226993
50.0,10134252.529223733,1137508.1149489686,2.873889022790161
51.0,10220654.67171554,382248.1200970998,0.0
52.0,10125037.079941068,1218212.0869124467,2.3580848390966493
53.0,10257153.364489397,64010.914095047265,0.0
54.0,10201913.621992698,545864.4043308466,0.0
55.0,10255556.604632491,77902.06054610146,2.5640347090098063
56.0,10114139.18491491,1313691.578715157,1.829272160576965
57.0,10126695.22356176,1203704.596452975,0.0
58.0,10245266.73116525,167609.38934086752,4.783683956664813
59.0,10088093.081334151,1542054.5940908657,0.0
60.0,10259473.727590049,43760.552109409306,1.8462052497590677
61.0,10133381.025567675,1145141.6541273508,1.4748476325435589
62.0,10131799.760122348,1159015.4992314188,0.0
63.0,10155630.565919222,950390.94385143,0.0
64.0,10169910.943273025,825497.4217128376,0.0
65.0,10095768.348464487,1474733.2047688595,3.6668109472742705
66.0,10105867.558911033,1386216.4704549445,1.442839979208453
67.0,10245538.286728302,165215.63364337385,1.704859138667905
68.0,10257503.148034588,60938.06770422988,1.122425001158119
69.0,10238872.38983381,223358.0806706001,0.0
70.0,10187212.642667968,674272.4550426775,1.871533707333444
71.0,10248925.086204257,135737.6402471633,3.053314579762756
72.0,10251123.801550582,116548.44655235774,0.0
73.0,10177924.05322136,755431.3037437645,0.0
74.0,10158126.897172006,928557.9034997753,0.0
75.0,10245294.26263066,167364.01845241166,0.0
76.0,10133978.30980238,1139899.3066384979,1.4748807421136179
77.0,10172692.885313306,801164.8528850947,1.3574804957363673
78.0,10216257.008089615,420622.7826332662,1.9875985137115135
79.0,10250981.224853039,117782.16559989045,0.0
80.0,10135455.61602273,1126962.8564422594,5.3964099818145295
81.0,10250362.252430676,123186.22376777466,1.957349404618878
82.0,10118567.536098104,1274897.1593148732,1.6955767126992485
83.0,10173973.757166605,789986.7326708488,0.0
84.0,10188363.411671529,664196.9098855831,1.9077616434034246
85.0,10253686.0004809,94213.58577474771,0.0
86.0,10251710.614937954,111432.24592676554,0.0
87.0,10262838.808269149,14464.447730291895,1.451598325342097
88.0,10257733.152274126,58948.95229894751,0.0
89.0,10122473.89312942,1240685.9614582493,0.0
90.0,10248608.37028357,138459.6995268957,1.9309766189449076
91.0,10166291.531206846,857147.9981398793,0.0
92.0,10220954.513495151,379644.06325671653,0.0
93.0,10255429.17221498,79000.09455298622,1.2821031684596405
94.0,10085991.2999741,1560474.3805071777,1.918063182677432
95.0,10201673.81342013,547954.1499417793,3.326121430744615
96.0,10121986.509946339,1244930.555202813,0.0
97.0,10249265.159967558,132748.57916468955,0.0
98.0,10252422.240884338,105210.09020278185,1.1223572476827743
99.0,10238379.957798492,227643.42591353372,3.8535297117900322
