time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,1.0,0.0,0.0
1.0,5699290.65637728,1.1554711305594225,0.0,2.0,0.0,0.0
2.0,3182781.4037304716,1.3283459576561567,0.0,2.0,0.0,0.0
3.0,1756731.4687795518,1.531372487136913,0.0,2.0,0.0,0.0
4.0,963268.2605421719,1.7682112818683302,0.0,2.0,0.0,0.0
5.0,526268.9335232081,2.0434590406327846,0.0,2.0,0.0,0.0
6.0,286945.7010592661,2.3626836069347266,0.0,2.0,0.0,0.0
7.0,156284.8266815656,2.732491708964734,0.0,2.0,0.0,0.0
8.0,85069.69068267272,3.1606334758887176,0.0,2.0,0.0,0.0
9.0,46290.48841434417,3.6561431705211707,0.0,2.0,0.0,0.0
10.0,25184.413581887056,4.229515679761298,0.0,2.0,0.0,0.0
11.0,13700.301147730353,4.892919725250501,0.0,2.0,0.0,0.0
12.0,7452.56269338356,5.6604503537703454,0.0,2.0,0.0,0.0
13.0,4053.8604061226984,6.548424758831591,0.0,2.0,0.0,0.0
14.0,2205.0843761070073,7.575726869749496,0.0,2.0,0.0,0.0
15.0,1199.4384743273695,8.764207490683242,0.0,2.0,0.0,0.0
16.0,652.4222303381648,10.139148154126028,0.0,2.0,0.0,0.0
17.0,354.87748451914496,11.72979833685792,0.0,2.0,0.0,0.0
18.0,193.0312205676403,13.569997328386329,0.0,2.0,0.0,0.0
19.0,104.99686988300331,15.698893894205476,0.0,2.0,0.0,0.0
20.0,57.111685787111654,18.161778989133033,0.0,2.0,0.0,0.0
21.0,31.065154600749107,21.011049201461898,0.0,2.0,0.0,0.0
22.0,16.897482912149023,24.307321402720742,0.0,2.0,0.0,0.0
23.0,0.0,2.812072230272413,0.0,2.0,0.0,0.0
24.0,0.0,3.307182571234107,0.0,1.2,0.0,0.0
25.0,0.0,3.889465012246007,0.0,1.2,0.0,0.0
26.0,0.0,4.574267589947536,0.0,1.2,0.0,0.0
27.0,0.0,5.379640612341144,0.0,1.2,0.0,0.0
28.0,0.0,6.326812431857545,0.0,1.2,0.0,0.0
29.0,0.0,7.440748990464044,0.0,1.2,0.0,0.0
30.0,0.0,8.750811881461415,0.0,1.2,0.0,0.0
31.0,0.0,10.291532273337648,0.0,1.2,0.0,0.0
32.0,0.0,12.103521094948972,0.0,1.2,0.0,0.0
33.0,0.0,14.23453947287926,0.0,1.2,0.0,0.0
34.0,0.0,16.74075763574938,0.0,1.2,0.0,0.0
35.0,0.0,19.688235467838403,0.0,1.2,0.0,0.0
36.0,0.0,23.154663736563382,0.0,1.2,0.0,0.0
37.0,0.0,27.231411889122594,0.0,1.2,0.0,0.0
38.0,0.0,32.025936394017045,0.0,1.2,0.0,0.0
39.0,0.0,37.66461310619043,0.0,1.2,0.0,0.0
40.0,0.0,44.29606831060436,0.0,1.2,0.0,0.0
41.0,0.0,52.095096242737306,0.0,1.2,0.0,0.0
42.0,0.0,61.26726634212055,0.0,1.2,0.0,0.0
43.0,0.0,72.05434167394087,0.0,1.2,0.0,0.0
44.0,0.0,84.7406513329803,0.0,1.2,0.0,0.0
45.0,0.0,99.66058478703754,0.0,1.2,0.0,0.0
46.0,0.0,117.20740568594931,0.0,1.2,0.0,0.0
47.0,0.0,13.784361743639927,0.0,1.2,0.0,0.0
48.0,0.0,16.2113189415121,0.0,1.2,0.0,0.0
49.0,0.0,19.065580657073042,0.0,1.2,0.0,0.0
50.0,0.0,22.42238063378869,0.0,1.2,0.0,0.0
51.0,0.0,26.370198697976317,0.0,1.2,0.0,0.0
52.0,0.0,31.013092935274543,0.0,1.2,0.0,0.0
53.0,0.0,36.473442480871185,0.0,1.2,0.0,0.0
54.0,0.0,42.89517321736644,0.0,1.2,0.0,0.0
55.0,0.0,50.44755140217448,0.0,1.2,0.0,0.0
56.0,0.0,59.32964521516867,0.0,1.2,0.0,0.0
57.0,0.0,69.77557182132772,0.0,1.2,0.0,0.0
58.0,0.0,82.06066824632347,0.0,1.2,0.0,0.0
59.0,0.0,96.50874871080774,0.0,1.2,0.0,0.0
60.0,0.0,113.5006397031326,0.0,1.2,0.0,0.0
61.0,0.0,133.48421774475992,0.0,1.2,0.0,0.0
62.0,0.0,156.98621440480542,0.0,1.2,0.0,0.0
63.0,0.0,184.62609969315412,0.0,1.2,0.0,0.0
64.0,0.0,217.13240973209454,0.0,1.2,0.0,0.0
65.0,0.0,255.36194901673142,0.0,1.2,0.0,0.0
66.0,0.0,300.3223733205518,0.0,1.2,0.0,0.0
67.0,0.0,353.19874837848226,0.0,1.2,0.0,0.0
68.0,0.0,415.38478423003374,0.0,1.2,0.0,0.0
69.0,0.0,488.5195682859326,0.0,1.2,0.0,0.0
70.0,0.0,574.5307650333376,0.0,1.2,0.0,0.0
71.0,0.0,67.5685420626106,0.0,1.2,0.0,0.0
72.0,0.0,79.46505619814425,0.0,1.2,0.0,0.0
73.0,0.0,93.45613848119035,0.0,1.2,0.0,0.0
74.0,0.0,109.91056977923185,0.0,1.2,0.0,0.0
75.0,0.0,129.26206020377586,0.0,1.2,0.0,0.0
76.0,0.0,152.0206807395459,0.0,1.2,0.0,0.0
77.0,0.0,178.78630751697156,0.0,1.2,0.0,0.0
78.0,0.0,210.2644330561355,0.0,1.2,0.0,0.0
79.0,0.0,247.2847611840562,0.0,1.2,0.0,0.0
80.0,0.0,290.82307567835574,0.0,1.2,0.0,0.0
81.0,0.0,342.02695895012613,0.0,1.2,0.0,0.0
82.0,0.0,402.24603851764977,0.0,1.2,0.0,0.0
83.0,0.0,473.06755830963357,0.0,1.2,0.0,0.0
84.0,0.0,556.3582121101612,0.0,1.2,0.0,0.0
85.0,0.0,654.313341406138,0.0,1.2,0.0,0.0
86.0,0.0,769.514793857669,0.0,1.2,0.0,0.0
87.0,0.0,904.9989666789662,0.0,1.2,0.0,0.0
88.0,0.0,1064.3368273801375,0.0,1.2,0.0,0.0
89.0,0.0,1251.728019616587,0.0,1.2,0.0,0.0
90.0,0.0,1472.1115325892747,0.0,1.2,0.0,0.0
91.0,0.0,1731.2958482473246,0.0,1.2,0.0,0.0
92.0,0.0,2036.111992868836,0.0,1.2,0.0,0.0
93.0,0.0,2394.593521825206,0.0,1.2,0.0,0.0
